,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,6:59,23,9,,6:38,6:42,White,Orange,10,,,,,,,,
,,,,,,,,,,,,,,,,7:18,23,8,,6:46,6:51,Purple,Green,28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:53,6:58,Blue,Blue,27,2,"hens are all over lek, he was in center, at least 10 feet from 3 females",,,,,,
,,,,,,,,,,,,,,,,,,,,7:11,7:16,Blue,Blue,1,,,"Feed, sat, he walked off to N after getting up from his roosting. ",,,,,
,,,,,,,,,,,,,,,,,,,,7:21,7:26,Purple,Green,13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:27,7:32,Red,Orange,2,,,Feed and walked N,,,,,
,,,,,,,,,,,,,,,,,,,,7:34,7:39,Red,Red,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,Red ,Blue,38,,,,,,,,
43,1987-04-16,6:01,,NORTH,,,Calm ,Wispy clouds,N,N,20,"Calm, Clear sky with a few wispy clouds, bright moon",Clear,,,6:01,26,33,"4 juv. hens on NW edge (extreme) couple hundred yards stayed the entire time. Walked off w/ hens at 6:36, remained until 7:25, begain walk to North. ",6:08,6:13,Red,Blue,39,,Center 20,,Red ,Blue,,3," Activity - has slowed down earlier than most days, (?) today 7:00am. Semeed to be the time that females left and males feed or roost. Today, this occurs at 6:35. R/R and LW/? fight - tie. P/G and P/P - tie fight. "
,,,,,,,,,,,,,,,,6:36,26,26,,6:14,6:17,Blue,Blue,4,,,,,,,1,
,,,,,,,,,,,,,,,,7:01,22,2,,6:20,6:25,Purple,Purple,16,,,P/P interrupted a copulation with broken tail. Broken tail mounted a female and he ran up to them and flapped wings.,,,,,
,,,,,,,,,,,,,,,,7:28,19,0,,6:28,6:33,Blue,Red,27,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,6:49,Purple,Green,32,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,Red,Orange,14,3,,"LP/RG approached, had wing flapping then tail wagging. LP/RG walked off. Had a tail wag-of. He kept his tail part way spread and erect. B/B kept his folded and down.",,,,,
,,,,,,,,,,,,,,,,,,,,7:06,7:11,Red,Blue,0,0,,,,,,,
