,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
49,16-04-1988,5:17,6:37,NORTH,White/Hemall,,10-May,0,no,no,,NA,NA,,,5:48,19,3,,6:23,6:28,O,W,37,1,,j 2 cop (adjacent to O/W),O,W,,4,"B/W won fight with UM male. No W/W!!! 6:16 marked hens present: W/R, O/G, 1R, W/O, B/G, marked males present: B/B, R.R, O/W, O/O, Y/G, W/G, WP, B/W. Male sitting on lek - not strutting, maybe R/B? R/B chased off unmarked male at 6:33. When 1st arrived hens clustered around R/R + O/W, then at 6:50, clustered. 6:55 - 7:18 many hens leaving to NE (say 15-50). "
,,,,,,,,,,,,,,,,6:19,22,29,,6:23,6:28,R,R,38,1,,-,,,,,
,,,,,,,,,,,,,,,,6:39,20,20,,6:31,6:36,W,G,22,1,1m to 1 hen,won  2; forces submission on a 3(?),,,,,
,,,,,,,,,,,,,,,,7:25,16,6,,6:31,6:36,W,B,34,1,,won 2,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,W,P,34,2,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,Y,G,43,1,,"missing 1/2 tail feathers, spotty",,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,B,W,34,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,O,O,41,1,,chased off w/G,,,,,
,,,,,,,,,,,,,,,,,,,,7:13,7:18,B,B,-,3,,feeding continually ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,17-04-1988,5:32,6:20,NORTH,Johnsons,,15-20,<5,no,no,,NA,clear,,,6:35,20,10,,6:48,,W,G,22,1,,-,O,W,,1,Bred WG hen. R/B - not on the lek!!
,,,,,,,,,,,,,,,,7:15,20,0,"strutting has almost quit, everyone starting to leave",6:40,,R,R,27,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,,O,O,45,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:57,7:02,O,W,18,1,Hens 0-5 last minute,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:57,7:02,Y,G,40,02-Jan,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:04,,B,B,2,-,,nobody ystrutting,,,,,
