,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE,
87,Sybille Spgs,G343,P591,adult,19-Apr,33,0.251388889,0.263194444,-0.011805556,1,0,,,
87,Sybille Spgs,O23,P598,adult,01-May,0,0.254861111,0.252083333,0.002777778,0,0,,,
87,Sybille Spgs,O23,P598,adult,01-May,0,0.261805556,0.252083333,0.009722222,0,0,,,
87,Sybille Spgs,O23,P598,adult,29-Apr,39,0.298611111,0.252777778,0.045833333,1,0,,,
87,Sybille Spgs,O23,P598,adult,29-Apr,29,0.284722222,0.252777778,0.031944444,1,0,,,
87,Sybille Spgs,O23,P598,adult,18-Apr,33,0.291666667,0.263888889,0.027777778,1,0,,,
87,Sybille Spgs,O23,P598,adult,29-Apr,44,0.289583333,0.252777778,0.036805556,1,0,,,
87,Sybille Spgs,O23,P598,adult,17-Apr,35,0.267361111,0.265277778,0.002083333,4,0,,,
87,Sybille Spgs,P525,P522,adult,01-May,2,0.263194444,0.252083333,0.011111111,0,1,,,
87,Sybille Spgs,P525,P522,adult,01-May,3,0.254861111,0.252083333,0.002777778,0,1,,,
87,Sybille Spgs,P525,P522,adult,01-May,3,0.274305556,0.252083333,0.022222222,0,1,,,
87,Sybille Spgs,P525,P522,adult,15-Apr,34,0.277777778,0.268055556,0.009722222,1,1,,,
87,Sybille Spgs,P525,P522,adult,29-Apr,35,0.243055556,0.252777778,-0.009722222,1,1,,,
87,Sybille Spgs,P525,P522,adult,18-Apr,39,0.270833333,0.263888889,0.006944444,1,1,,,
