"l_tag","r_tag","year","month","day","lek","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"W627","B986","1989",4,"08","mud_springs","adult","30","0.278472222","0.277777778","-0.000694444","1","0","1","0"
"W627","B986","1989",5,"06","mud_springs","adult","0","0.291666667","0.247916667","-0.04375","0","0","1","0"
"W627","B986","1989",4,"12","mud_springs","adult","39","0.265277778","0.275694444","0.010416667","1","0","1","0"
"W627","B986","1989",3,"21","mud_springs","adult","11","0.28125","0.257638889","-0.023611111","0","0","1","0"
"W627","B986","1989",5,"01","mud_springs","adult","0","0.254861111","0.25","-0.004861111","0","0","1","0"
"W627","B986","1989",4,"16","mud_springs","adult","32","0.277777778","0.272222222","-0.005555556","1","0","1","0"
"W627","B986","1989",4,"26","mud_springs","adult","0","0.246527778","0.256944444","0.010416667","0","0","1","0"
"W632","R876","1989",4,"11","mud_springs","adult","22","0.270833333","0.276388889","0.005555556","1","0","0","3"
"W632","R876","1989",4,"26","mud_springs","adult","2","0.263888889","0.256944444","-0.006944444","0","0","0","3"
"W632","R876","1989",4,"12","mud_springs","adult","21","0.2875","0.275694444","-0.011805556","3","0","0","3"
"W632","R876","1989",4,"15","mud_springs","adult","22","0.276388889","0.274305556","-0.002083333","1","0","0","3"
"W660","Y1113","1989",4,"20","north","adult","12","0.29375","0.268055556","-0.025694444","3","0","0","0"
"W660","Y1113","1989",4,"08","north","adult","23","0.289583333","0.277777778","-0.011805556","3","0","0","0"
"W670","W671","1989",5,"04","viewpoint","adult","6","0.249305556","0.249305556","0","2","0","0","0"
"W670","W671","1989",4,"05","viewpoint","adult","35","0.2625","0.279166667","0.016666667","1","0","0","0"
"WB1605","WG1583","1989",4,"14","mud_springs","adult","14","0.304861111","0.275","-0.029861111","1","0","0","0"
"WB1607","WY1120","1989",4,"16","mud_springs","juven","32","0.277777778","0.272222222","-0.005555556","1","0","0",NA
