,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,,,
,,,,,,,,,,,,,,,,,,,,6:37,6:42,WY,W,11,,,Chased off 2 UM males,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,B,O,11,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,G,B,1,,,Standoff with UM male,,,,,,,
77,05-04-1990,5:15,6:10,NORTH,White,Spotlight,5 to 10,100,-,-,0, Rain all night,Clear,,,5:45,23,0,WY/Y,6:09,6:14,B,O,0,3,,-,,,,,"Birds really spooked ? howling in distance, almost no activity- no birds seen at lek (?), cold nasty gray dog - some strut (?), left 7:15 - no birds strutting, no female hens, starting to snow",,
,,,,,,,,,,,,,,,,6:47,23,0,,6:09,6:14,R,B,2,3,,2 standoffs with UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:19,6:24,B,B,0,3,,Chased off ?,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:19,6:24,W1476,O,4,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:32,B1666,Y,0,3,,Last fight with UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:32,WY,Y,0,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,6:45,GR,R,14,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,GR,B,0,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,WY,Y,8,3,,-,,,,,,,
78,27-04-1990,5:56,6:09,NORTH,White,None,10 to 15,70,-,-,20,Light snow overnight,Light snow,Peregrine falcon,6:34,6:?,29,1,,6:09,6:14,R,B,0,3,,Standoff with UM male,,,,,"6:48- prairie falcon dive bombing birds, perched behind lek. 7:25 - 1/2 birds flew . 7:20 - antelopes wandering through, everyone in flight, but no hens! ",,
,,,,,,,,,,,,,,,,7:09,21,0,Most males feisty- a few strutting,6:09,6:14,WY,Y,0,3,,standoff with UM male,,,,,,,
,,,,,,,,,,,,,,,,7:27,19,0,,6:17,6:22,B,O,27,,Male passed by at 10 m,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,6:22,B,B027,20,,,Chased off juven,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:32,W,O,22,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:32,WR,R,12,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,G,B,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,W,Y,0,,,,,,,,,,
79,02-05-1990,5:50,6:05,NORTH,White,None,Calm,3,-,-,30,,Clear,?,7:03:00 AM ( no birds flew),5:50,27,3,,6:06,6:11,Y,WG-13,29,2,,-,,UM,,1,"~1/2 birds flew at 7:30, last few hens left 7:30. Some on lek 6:13. Predator at 7:03 - no birds flew. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page",,
,,,,,,,,,,,,,,,,7:25,32,1,,6:11,6:16,WG,W,5,3,,-,,,,,,,
,,,,,,,,,,,,,,,,7:34,24,0,,6:27,6:32,WR,R,26,2,,-,,,,,,,
