"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,
"year = all, males of unknown malarial status not included",,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,39,0.012,1,88,0,18.97893059,20.020999,,1521,39,400.840401,20.020999,,,,,
1,4,0.023,2,88,0,14.5487006,-10.548811,,16,4,111.2774135,-10.548811,,,,,
1,34,0.028,3,88,0,10.59132498,23.408525,,1156,34,547.9590427,23.408525,,,,,
1,22,0.017,0,88,0,22.14821563,-0.14824562,,484,22,0.021976764,-0.14824562,,,,,
1,5,0.013,2,88,0,15.33679125,-10.336901,,25,5,106.8515223,-10.336901,,,,,
0,0,0.030,3,88,0,10.43370688,-10.433857,,0,0,108.8653719,-10.433857,,,,,
0,0,0.034,2,88,0,13.70807061,-13.708181,,0,0,187.9142263,-13.708181,,,,,
0,0,0.025,3,90,0,10.8014825,-10.801633,,0,0,116.6752755,-10.801633,,,,,
1,7,-0.015,0,88,0,24.61756627,-17.617596,,49,7,310.3796888,-17.617596,,,,,
1,14,0.008,0,88,0,22.8312275,-8.8312575,,196,14,77.99110903,-8.8312575,,,,,
0,17,-0.003,1,88,0,20.13479687,-3.1348669,,289,17,9.827390481,-3.1348669,,,,,
0,0,0.034,3,88,0,10.11847061,-10.118621,,0,0,102.3864909,-10.118621,,,,,
0,27,-0.006,1,88,0,20.292415,6.707515,,729,27,44.99075748,6.707515,,,,,
1,27,-0.014,2,88,0,17.33328751,9.6666025,,729,27,93.44320389,9.6666025,,,,,
1,26,0.004,1,88,0,19.55686375,6.4430663,,676,26,41.51310335,6.4430663,,,,,
1,1,0.002,0,88,0,23.30408188,-22.304112,,1,1,497.4734121,-22.304112,,,,,
1,38,-0.004,1,88,0,20.18733625,17.812594,,1444,38,317.288505,17.812594,,,,,
0,3,-0.005,0,88,0,23.82947562,-20.829506,,9,3,433.8683202,-20.829506,,,,,
0,22,-0.006,1,88,0,20.292415,1.707515,,484,22,2.915607475,1.707515,,,,,
3,0,0.044,3,90,0,9.382919375,-9.3830694,,0,0,88.04199137,-9.3830694,,,,,
0,0,0.015,3,89,0,11.58957315,-11.589723,,0,0,134.3216792,-11.589723,,,,,
3,22,0.024,2,90,0,14.44362184,7.5562681,,484,22,57.0971876,7.5562681,,,,,
0,2,0.024,3,90,0,10.90656126,-8.9067113,,4,2,79.32950618,-8.9067113,,,,,
0,0,0.019,0,90,0,22.04313688,-22.043167,,0,0,485.9012114,-22.043167,,,,,
0,23,0.049,2,90,0,12.60474376,10.395146,,529,23,108.0590604,10.395146,,,,,
3,13,-0.004,3,90,0,13.00813625,-0.00828625,,169,13,6.86619E-05,-0.00828625,,,,,
1,12,0.019,3,90,0,11.22179753,0.7780525,,144,12,0.605365693,0.7780525,,,,,
3,0,0.017,3,90,0,11.37941563,-11.379566,,0,0,129.4945223,-11.379566,,,,,
1,0,0.053,3,90,0,8.699907483,-8.7000575,,0,0,75.6910005,-8.7000575,,,,,
1,24,0.033,3,90,0,10.22354937,13.776301,,576,24,189.7864692,13.776301,,,,,
3,8,0.029,2,90,0,14.07584622,-6.0759562,,64,8,36.91724374,-6.0759562,,,,,
1,0,0.051,3,90,0,8.857525659,-8.8576756,,0,0,78.45841703,-8.8576756,,,,,
3,15,0.056,3,90,0,8.489749966,6.5101,,225,15,42.38140201,6.5101,,,,,
0,6,0.043,0,90,0,20.20425872,-14.204289,,36,6,201.761826,-14.204289,,,,,
3,6,0.003,3,90,0,12.43020313,-6.4303531,,36,6,41.34944099,-6.4303531,,,,,
1,2,-0.012,3,90,0,13.58606941,-11.586219,,4,2,134.2404707,-11.586219,,,,,
3,29,0.020,1,90,0,18.34845812,10.651472,,841,29,113.4538558,10.651472,,,,,
3,31,0.022,1,90,0,18.19084002,12.80909,,961,31,164.0727866,12.80909,,,,,
3,25,0.031,2,90,0,13.91822813,11.081662,,625,25,122.8032327,11.081662,,,,,
0,5,0.010,3,90,0,11.95734875,-6.9574988,,25,5,48.40678955,-6.9574988,,,,,
0,4,0.037,2,90,0,13.49791309,-9.4980231,,16,4,90.21244281,-9.4980231,,,,,
0,3,0.030,3,90,0,10.43370688,-7.4338569,,9,3,55.26222841,-7.4338569,,,,,
1,26,-0.001,2,90,0,16.38757875,9.6123112,,676,26,92.39652661,9.6123112,,,,,
0,6,-0.005,3,90,0,13.06067562,-7.0608256,,36,6,49.85525815,-7.0608256,,,,,
1,26,0.019,3,90,0,11.22179753,14.778052,,676,26,218.3908209,14.778052,,,,,
1,18,0.061,0,90,0,18.83823501,-0.838265,,324,18,0.70268821,-0.838265,,,,,
3,0,0.033,0,90,0,20.93981003,-20.93984,,0,0,438.4768992,-20.93984,,,,,
3,12,-0.003,3,90,0,12.9030575,-0.9032075,,144,12,0.815783788,-0.9032075,,,,,
1,11,0.025,3,90,0,10.8014825,0.1983675,,121,11,0.039349665,0.1983675,,,,,
3,14,0.053,3,90,0,8.647368142,5.3524819,,196,14,28.64906249,5.3524819,,,,,
0,35,0.042,3,90,0,9.540537475,25.459312,,1225,35,648.1765675,25.459312,,,,,
3,0,0.044,2,90,0,12.97251938,-12.972629,,0,0,168.2891032,-12.972629,,,,,
3,20,0.006,3,90,0,12.22004563,7.7798044,,400,20,60.5253565,7.7798044,,,,,
0,0,0.007,2,90,0,15.75710625,-15.757216,,0,0,248.2898561,-15.757216,,,,,
3,2,0.006,0,90,0,22.98884563,-20.988876,,4,2,440.5329157,-20.988876,,,,,
3,6,0.030,0,90,0,21.20250688,-15.202537,,36,6,231.1171312,-15.202537,,,,,
3,13,0.057,3,90,0,8.384671284,4.6151788,,169,13,21.29987536,4.6151788,,,,,
0,22,0.009,2,90,0,15.59948812,6.4004019,,484,22,40.96514448,6.4004019,,,,,
0,9,0.035,1,90,0,17.24513127,-8.2452012,,81,9,67.98334283,-8.2452012,,,,,
3,26,0.039,1,90,0,16.92989499,9.070035,,676,26,82.2655349,9.070035,,,,,
3,21,0.003,1,90,0,19.6619425,1.3379875,,441,21,1.79021055,1.3379875,,,,,
3,0,0.022,3,90,0,11.06417936,-11.064329,,0,0,122.4193762,-11.064329,,,,,
0,0,0.007,3,90,0,12.16750625,-12.167656,,0,0,148.0518525,-12.167656,,,,,
3,6,-0.005,3,90,0,13.06067562,-7.0608256,,36,6,49.85525815,-7.0608256,,,,,
3,22,0.022,3,90,0,11.06417936,10.935671,,484,22,119.5889002,10.935671,,,,,
3,5,-0.016,3,90,0,13.90130561,-8.9014556,,25,5,79.2359118,-8.9014556,,,,,
3,13,0.019,3,90,0,11.22179753,1.7780525,,169,13,3.161470693,1.7780525,,,,,
3,36,-0.001,2,90,0,16.38757875,19.612311,,1296,36,384.6427428,19.612311,,,,,
3,0,0.003,3,90,0,12.43020313,-12.430353,,0,0,154.5136757,-12.430353,,,,,
3,6,0.048,3,90,0,9.0676831,-3.0678331,,36,6,9.411599929,-3.0678331,,,,,
3,39,-0.001,1,90,0,19.97717875,19.022751,,1521,39,361.8650556,19.022751,,,,,
0,0,0.019,3,89,0,11.22179753,-11.221948,,0,0,125.9321169,-11.221948,,,,,
0,27,-0.008,2,88,0,16.9129725,10.086918,,729,27,101.7459147,10.086918,,,,,
1,39,-0.003,2,89,0,16.54519687,22.454693,,1521,39,504.2132377,22.454693,,,,,
3,29,0.013,1,89,0,18.87385191,10.126078,,841,29,102.5374557,10.126078,,,,,
3,15,0.027,0,89,0,21.4126644,-6.4126944,,225,15,41.12264947,-6.4126944,,,,,
3,1,0.034,3,89,0,10.11847061,-9.1186206,,1,1,83.14924165,-9.1186206,,,,,
