"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
year = all,,,,,,,,,,,,,,,,,,,
lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
1,30,-0.04375,1,90,0,0,30.380153,-0.3801525,,900,30,0.144515923,-0.3801525,,,,Regression Output:,,
0,27,-0.000694444,1,90,0,0,24.091083,2.9089169,,729,27,8.461797531,2.9089169,,,Constant,,,32.964164
0,17.333333,0.00625,1.8333333,90,0,0,15.589219,1.7441142,,300.4444329,17.333333,3.041934343,1.7441142,,,Std Err of Y Est,,,7.301074
1,10.4,-0.005277778,2.6,90,0,0,10.405375,-0.005375222,,108.16,10.4,2.8893E-05,-0.005375222,,,R Squared,,,0.44116127
0,9,-0.027083333,2.5,90,0,0,14.513339,-5.5133392,,81,9,30.39690913,-5.5133392,,,No. of Observations,,,35
0,10.666667,-0.01724537,2.3333333,90,0,0,14.560783,-3.8941159,,113.7777849,10.666667,15.16413864,-3.8941159,,,Degrees of Freedom,,,32
1,20.142857,-0.013789683,2.2857143,90,0,0,14.479398,5.6634593,,405.7346881,20.142857,32.07477124,5.6634593,,,,,,
0,0,0.008333333,3,90,0,0,4.8112833,-4.8112833,,0,0,23.14844699,-4.8112833,,,X Coefficient(s),,-147.23044,-8.9753164
1,15.666667,-0.019675926,2.3333333,90,0,0,14.918633,0.74803343,,245.4444549,15.666667,0.559554012,0.74803343,,,Std Err of Coef.,,85.900972,1.9015864
0,4,-0.039583333,3,90,0,0,11.866054,-7.8660542,,16,4,61.87480868,-7.8660542,,,,,,
0,4.5,-0.020486111,3,90,0,0,9.0543701,-4.5543701,,20.25,4.5,20.74228701,-4.5543701,,,,,,
0,2.5,-0.011805556,3,90,0,0,7.7763319,-5.2763319,,6.25,2.5,27.83967832,-5.2763319,,,,,,
1,10,-0.007986111,2,90,0,0,16.189315,-6.1893151,,100,10,38.30762141,-6.1893151,,,,,,
