DATA FILE TO COMPARE STRUTTING FREQUENCY WITH DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,BREEDING STATUS,,,,,,
0=NOT INFECTED,,,1=BREEDER,,,,,,
1=INFECTED,,,0=NON-BREEDER,,,,,,
3=UNKNOWN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BREED,MALARIA,DATE,/5 MIN,RESIDS,,REGRESSION ON ACTUAL DATA,,,BREEDERS
0,0,502,2,-9.3997999,,,,,
0,0,430,0,-22.518009,,,,,
0,0,506,13,2.8776817,,,,,
0,0,504,10,-1.4530283,,,,,
0,0,503,0,-13.848306,,,,,
0,3,502,0,-10.335232,,,,,
0,1,401,21,3.7295087,,,,,
0,1,512,19,6.26949,,,,,
0,1,506,7,-5.73051,,,,,
0,1,503,5,-14.947478,,,,,
0,0,512,27,15.067916,,,,,
0,1,502,9,-13.784151,,,,,
0,1,328,19,-3.2895281,,,,,
0,3,515,30,11.063861,,,,,
0,3,413,33,14.063861,,,,,
0,3,420,32,12.42512,,,,,
0,3,418,29,12.900534,,,,,
0,3,415,32,14.713942,,,,,
0,3,422,25,15.835793,,,,,
0,3,328,32,10.45567,,,,,
0,3,413,19,7.6002001,,,,,
0,3,401,37,15.668583,,,,,
0,3,401,34,22.637861,,,,,
0,3,321,8,-12.601786,,,,,
0,1,506,12,-7.095824,,,,,
0,0,502,13,1.4937433,,,,,
0,0,416,6,-8.6622995,,,,,
0,0,416,29,18.026027,,,,,
0,0,507,1,-10.240115,,,,,
0,0,504,26,6.7977192,,,,,
0,0,507,6,-6.73051,,,,,
0,0,416,11,1.303509,,,,,
0,0,510,0,-16.472065,,,,,
0,0,508,0,-11.612714,,,,,
0,0,507,14,1.26949,,,,,
0,0,504,11,0.45185451,,,,,
0,0,418,17,6.6115397,,,,,
0,3,416,1,-9.1223183,,,,,
0,0,508,0,-12.517596,,,,,
0,0,508,8,-3.6127135,,,,,
0,0,507,0,-11.240115,,,,,
0,0,504,5,-10.513954,,,,,
0,0,418,4,-7.8256272,,,,,
0,0,510,21,1.2122068,,,,,
0,0,418,28,8.5848056,,,,,
0,0,504,0,-12.517596,,,,,
0,0,502,28,8.2654352,,,,,
0,0,427,0,-11.985312,,,,,
0,0,504,22,5.9005336,,,,,
0,0,418,3,-8.4530283,,,,,
0,0,416,0,-11.240115,,,,,
0,3,322,34,20.630749,,,,,
0,0,322,0,-13.209566,,,,,
0,0,322,14,1.4824036,,,,,
0,3,427,16,1.0183301,,,,,
0,3,418,31,12.010633,,,,,
0,0,507,12,0.38728646,,,,,
0,3,403,21,3.1284293,,,,,
0,0,508,8,-3.0804295,,,,,
0,0,508,6,-11.23283,,,,,
0,0,507,18,-1.89425,,,,,
0,0,418,4,-6.2820035,,,,,
0,3,427,25,10.763528,,,,,
0,3,322,14,-2.0994664,,,,,
0,0,416,25,9.8586449,,,,,
0,0,508,30,17.322718,,,,,
0,0,507,19,2.2617928,,,,,
0,0,504,26,7.5961453,,,,,
0,0,418,19,7.8131137,,,,,
0,0,508,15,-1.0994664,,,,,
0,0,403,17,6.6115397,,,,,
0,0,503,32,12.318664,,,,,
0,0,502,0,-12.836967,,,,,
0,0,427,0,-11.985312,,,,,
0,0,508,0,-12.41114,,,,,
0,0,512,3,-21.434231,,,,,
0,0,504,11,-0.61271354,,,,,
0,1,321,11,-10.932496,,,,,
0,1,507,7,-14.346984,,,,,
0,1,408,30,11.862287,,,,,
0,1,403,8,0.37941667,,,,,
0,1,323,5,-18.742262,,,,,
0,1,411,19,6.6953172,,,,,
0,1,413,28,10.128429,,,,,
0,1,507,10,-11.879268,,,,,
0,0,507,26,4.1207321,,,,,
0,0,507,27,4.6949049,,,,,
0,1,409,16,2.9345526,,,,,
0,0,507,12,-11.209978,,,,,
0,1,412,39,19.957404,,,,,
0,1,430,0,-10.122318,,,,,
0,1,426,0,-12.943424,,,,,
0,1,509,0,-23.103521,,,,,
0,1,506,0,-20.016274,,,,,
0,1,501,0,-22.943836,,,,,
0,0,507,8,-16.274546,,,,,
0,1,414,31,12.010633,,,,,
0,1,418,40,21.809059,,,,,
0,1,416,32,14.021973,,,,,
0,1,415,38,18.371892,,,,,
0,0,507,33,10.322306,,,,,
0,3,321,15,-6.4002123,,,,,
0,0,507,10,-13.79549,,,,,
0,3,503,0,-11.612714,,,,,
0,3,502,39,18.946065,,,,,
0,1,405,26,5.573466,,,,,
0,0,504,6,-10.152695,,,,,
0,0,405,35,15.531577,,,,,
0,1,410,26,8.3413429,,,,,
0,0,405,3,-8.5594851,,,,,
0,0,508,5,-7.5175964,,,,,
0,0,507,0,-11.453028,,,,,
0,0,427,20,5.7102993,,,,,
0,1,405,38,18.957404,,,,,
0,3,502,27,15.067916,,,,,
0,1,410,29,12.352683,,,,,
0,0,420,0,-21.932496,,,,,
0,0,420,5,-17.46478,,,,,
0,0,430,5,-16.772811,,,,,
0,0,430,17,-5.943836,,,,,
0,0,420,6,-14.921157,,,,,
0,0,504,30,13.421478,,,,,
0,0,410,0,-13.757417,,,,,
0,0,430,3,-19.411552,,,,,
0,0,430,4,-18.943836,,,,,
0,0,430,6,-18.221318,,,,,
0,1,505,0,-11.612714,,,,,
0,0,405,0,-8.1528674,,,,,
0,1,507,2,-20.092182,,,,,
0,1,423,32,14.76717,,,,,
0,3,409,43,24.330003,,,,,
0,1,508,0,-13.316022,,,,,
0,1,506,0,-13.582164,,,,,
0,1,503,4,-17.559898,,,,,
0,1,430,0,-22.46478,,,,,
0,1,430,0,-20.175959,,,,,
0,3,505,0,-22.677694,,,,,
0,1,422,19,1.1816577,,,,,
0,3,409,33,14.330003,,,,,
0,1,430,8,-14.571237,,,,,
0,3,409,27,17.303509,,,,,
0,1,412,31,13.181658,,,,,
0,1,413,29,13.060219,,,,,
